,NCT Number,Title,Interventions,Phases,Official Title
1605,NCT00544115,donor peripher stem cell transplant in treat patient with advanc hematolog cancer or other disord,"['busulfan', 'cyclophosphamide', 'cyclosporine', 'etoposide', 'fludarabine phosphate', 'melphalan', 'methotrexate', 'mycophenolate mofetil', 'sirolimus', 'tacrolimus']",['2'],a phase ii trial of allogen peripher blood stem cell transplant from match unrel donor in patient with advanc hematolog malign and hematolog disord
1606,NCT00104923,fenretinid in treat patient with refractori or relaps hematolog cancer,['fenretinide'],['1'],phase i trial of intraven fenretinid 4hpr for patient with hematolog malign
1612,NCT00424242,pemetrex disodium in the cerebrospin fluid of patient with leptomening metastas,['pemetrexed'],['1'],a pharmacokinet studi of pemetrex in the cerebrospin fluid of patient with leptomening metastas
1613,NCT00365287,combin chemotherapi and totalbodi irradi befor donor umbil cord blood transplant in treat patient with advanc hematolog cancer metastat breast cancer or kidney cancer,"['anti-thymocyte globulin', 'cyclophosphamide', 'cyclosporine', 'fludarabine phosphate', 'mycophenolate mofetil']","['1', '2']",transplant of umbil cord blood from unrel donor in patient with hematolog diseas use a nonmyeloabl prepar regimen
1614,NCT00416624,epoetin alfa or darbepoetin alfa in treat patient with anemia caus by chemotherapi,"['darbepoetin alfa', 'epoetin alfa']",['2'],rc05cb a pilot random comparison of standard week epoetin alfa to every3weekepoetin alfa and everi 3week darbepoetin alfa
1615,NCT00410657,alemtuzumab and glucocorticoid in treat newli diagnos acut graftversushost diseas in patient who have undergon a donor stem cell transplant,"['methylprednisolone', 'prednisone']",['2'],a phase ii studi to evalu lowdos alemtuzumab as a glucocorticoidspar agent for initi system treatment of acut graftversushost diseas
1616,NCT00002502,combin chemotherapi and bone marrow transplant in treat patient with leukemia or myelodysplast syndrom,"['busulfan', 'cyclophosphamide', 'cytarabine']",['2'],busulfan and cyclophosphamid for cytoreduct of patient with acut and chronic leukemia and myelodysplast syndrom undergo allogen bone marrow transplant who cannot be treat with total bodi irradi
1617,NCT00005854,bone marrow transplant in treat patient with hematolog cancer,"['cyclophosphamide', 'cyclosporine', 'methotrexate']",['2'],transplant of hla haploident marrow cell after ex vivo exposur to recipi alloantigen in presenc of ctla4ig  a phase ii studi of toler induct in donor t cell by blockad of the cd80cd86cd28 costimulatori signal
1618,NCT00134017,combin chemotherapy bone marrow transplant and post transplant cyclophosphamid for hematolog cancer,"['busulfan', 'cyclophosphamide']",['2'],hla match relat and unrel bone marrow transplant with busulfancyclophosphamid and post transplant cyclophosphamid for hematolog malign
1619,NCT00134004,fludarabine cyclophosphamide and totalbodi irradi in treat patient who are undergo a donor bone marrow transplant for hematolog cancer,"['cyclophosphamide', 'fludarabine phosphate', 'mycophenolate mofetil', 'tacrolimus']",['2'],a phase ii trial of nonmyeloabl condit and transplant of partial hlamismatch bone marrow for patient with hematolog malign
1620,NCT00003396,peripher stem cell transplant in treat patient with hematolog cancer,"['cyclophosphamide', 'melphalan']",['2'],evalu of allogen peripher blood stem cell transplant from a relat donor without graftversushost prophylaxi in patient with high risk of relaps
1621,NCT00003269,amifostin follow by high dose chemotherapi in treat patient with hematolog cancer or solid tumor,"['amifostine trihydrate', 'cisplatin', 'cyclophosphamide', 'etoposide']",['2'],a phase ii openlabel trial evalu the efficaci of amifostin in patient with cancer receiv outpati doseintens cyclophosphamide etoposide and cisplatin dicep chemotherapi
1624,NCT00002818,highdos cytarabin plus deoxycytidin in treat with acut myelogen leukemia or other hematolog malign,"['cytarabine', 'deoxycytidine']",['1'],phase i and clinic pharmacokinet deescal studi of 2deoxycitidin administ as a continu infus in conjunct with a continu infus of highdos arac in patient with refractori acut myelogen leukemia
1625,NCT00006098,ps341 in treat patient with hematolog cancer,['bortezomib'],['1'],a phase i studi of ps341 in patient with hematolog malign
1626,NCT00006350,mycophenol mofetil tacrolimus daclizumab and donor peripher stem cell transplant in treat patient with hematolog cancer,"['mycophenolate mofetil', 'tacrolimus']",['2'],allogen hematopoiet stem cell transplant for hematolog malign after a nonmyeloabl condit regimen from hlamatch sibl donor
1628,NCT00005946,chemotherapi plus donor white blood cell infus in treat patient with relaps hematolog cancer follow donor peripher stem cell transplant,"['cyclophosphamide', 'etoposide']",['1'],a pilot studi of combin chemotherapi and donor lymphocyt infus for hematolog malign in relaps after allogen bone marrow transplant
1629,NCT00003572,totalbodi irradiation tacrolimus and mycophenol mofetil plus bone marrow transplant in treat patient with hematolog cancer,"['mycophenolate mofetil', 'tacrolimus']",['2'],nonmyeloabl allogen bone marrow transplant for hematolog malign
1630,NCT00004145,chemotherapi plus biolog therapi follow by peripher stem cell transplant in treat patient with hematolog cancer,"['cyclophosphamide', 'fludarabine phosphate']",['2'],allogen peripher blood stem cell transplant use a nonmyeloabl prepar regimen for patient with hematolog malign
1633,NCT00324324,moxifloxacin in prevent bacteri infect in patient who have undergon donor stem cell transplant,"['moxifloxacin hydrochloride', 'placebo']",['3'],randomized doubl blinded placebocontrol trial of antibacteri prophylaxi for the prevent of bacteri infect in the postengraft phase after allogen hematopoeit stem cell transplant
1634,NCT01925131,s1312 inotuzumab ozogamicin and combin chemotherapi in treat patient with relaps or refractori acut leukemia,"['cyclophosphamide', 'vincristine sulfate', 'prednisone']",['1'],s1312 a phase i studi of inotuzumab ozogamicin nsc772518 in combin with cvp cyclophosphamide vincristine prednisone for patient with relapsedrefractori cd22posit acut leukemia includ ball mix phenotyp leukemia and burkitt leukemia
1635,NCT00002989,combin chemotherapi with or without idarubicin and peripher stem cell transplant in treat patient with leukemia or myelodysplast syndrom,"['busulfan', 'cyclophosphamide', 'idarubicin', 'melphalan']",['3'],a random phase iii studi to assess intensif of the condit regimen for allogen stem cell transplant allosct for leukemia or myelodysplast syndrom with a high risk of relaps
1636,NCT00301912,busulfan and fludarabin befor donor stem cell transplant in treat patient with hematolog cancer,"['busulfan', 'fludarabine phosphate', 'methotrexate', 'tacrolimus']",['2'],phase ii studi evalu busulfan and fludarabin as prepar therapi in adult with hematopoiet disord undergo match unrel donor stem cell transplant
1640,NCT00281879,donor stem cell transplant or donor white blood cell infus in treat patient with hematolog cancer,"['busulfan', 'carmustine', 'cyclophosphamide', 'cyclosporine', 'cytarabine', 'etoposide', 'fludarabine phosphate', 'melphalan', 'methotrexate', 'methylprednisolone', 'mycophenolate mofetil', 'tacrolimus']",['2'],transplant of unrel donor hematopoiet stem cell for the treatment of hematolog malign
1643,NCT00006340,ganciclovir plus arginin butyr in treat patient with cancer or lymphoprolif disord associ with the epstein barr virus,"['arginine butyrate', 'ganciclovir']",['1'],a phase i trial of butyr and ganciclovir in ebvassoci malign
1647,NCT00245037,busulfan fludarabine and totalbodi irradi in treat patient who are undergo a donor stem cell transplant for hematolog cancer,"['busulfan', 'cyclosporine', 'fludarabine phosphate', 'mycophenolate mofetil', 'granulocyte colony', 'phenytoin', 'methotrexate']","['1', '2']",a phase iii nonmyeloabl allogen hematopoiet stem cell transplant for the treatment of patient with hematolog malign use busulfan fludarabin and total bodi irradi
1649,NCT00062140,totalbodi irradiation cyclophosphamide and stem cell transplant in treat patient with hematolog cancer,['cyclophosphamide'],['1'],a phase i trial of total bodi irradiation cyclophosphamid doseadjust base on it metabolism and hematopoiet stem cell transplant for patient with hematolog malign
1650,NCT00003661,chemotherapy radiat therapy and umbil cord blood transplant in treat patient with hematolog cancer,"['busulfan', 'cyclosporine', 'melphalan', 'methylprednisolone']",['2'],a pilot studi of unrel umbil cord blood transplant in children and adult with hematolog malign
1651,NCT00002750,melphalan in patient with neoplast mening,['melphalan'],['1'],phase i of intrathec melphalan in patient with recurr neoplast mening
1652,NCT00003270,chemotherapy radiat therapy and umbil cord blood transplant in treat patient with hematolog cancer,"['busulfan', 'cyclophosphamide', 'cyclosporine', 'methylprednisolone']",['2'],cord blood transplant for hematolog malign and bone marrow failur syndrom
1654,NCT00008307,combin chemotherapi follow by donor bone marrow transplant or peripher stem cell transplant in treat patient with hematolog cancer or genet disord,"['cyclosporine', 'fludarabine phosphate', 'melphalan', 'methylprednisolone', 'mycophenolate mofetil']",['2'],nonabl chemotherapeut condit befor allogen stem cell transplant
1655,NCT00994500,vorinostat and bortezomib in treat young patient with refractori or recurr solid tumors includ central nervous system tumor and lymphoma,"['vorinostat', 'bortezomib']",['1'],a phase i studi of vorinostat and bortezomib in children with refractori or recurr solid tumors includ cns tumor and lymphoma
1656,NCT00109993,campath1h  fk506 and methylprednisolon for gvhd,"['methylprednisolone', 'tacrolimus']",['2'],phase ii clinic trial incorpor alemtuzumab campath1h in combin with fk506 and methylprednisolon for treatment of sever acut graft vs host diseas
1657,NCT00004239,506u78 in treat patient with hematolog cancer and kidney or liver impair,['compound 506u78'],['1'],a phase i studi of compound 506u78 nsc 686673 in patient with hematolog malign and renal or hepat impair
1658,NCT00020865,levofloxacin compar with cefepim in treat cancer patient with fever and neutropenia,"['cefepime hydrochloride', 'levofloxacin']",['3'],multicenter doubleblind random studi to compar the safeti and efficaci of levofloxacin with that of cefepim in the treatment of fever and neutropenia  phase iiib
1660,NCT00004132,growth factor to prevent oral mucos in patient with hematolog cancer,"['cyclophosphamide', 'etoposide', 'ifosfamide']",['2'],a randomized doubleblind placebocontrol trial of recombin human keratinocyt growth factor rhukgf in patient with hematolog malign undergo total bodi irradi tbi and highdos chemotherapi with autolog peripher blood progenitor cell pbpc transplant
1662,NCT00005852,bone marrow transplant in treat patient with sever aplast anemia or reject of previous bone marrow transplant,"['cyclophosphamide', 'cyclosporine', 'methylprednisolone']",['2'],allogen bone marrow transplant for marrow failur state
1663,NCT00096096,tacrolimus and mycophenol mofetil in prevent acut graftversushost diseas in patient with advanc hematolog cancer who are undergo donor stem cell transplant,"['mycophenolate mofetil', 'tacrolimus']",['2'],a phase ii studi of the combin of tacrolimus and mycophenol mofetil for the prevent of acut graftversushost diseas
1665,NCT00538850,fentanyl sublingu spray in treat patient with breakthrough cancer pain,"['fentanyl sublingual spray', 'placebo']",['3'],a randomized doubleblind placebocontrol multicent studi to evalu the safeti and efficaci of fentanyl sublingu spray fentanyl sl spray for the treatment of breakthrough cancer pain
1666,NCT00003425,phase iii studi of escalatingdos melphalan wautolog scs  amifostin cytoprotect,"['amifostine trihydrate', 'cyclophosphamide', 'melphalan']","['1', '2']",phase iii studi of escal dose melphalan with autolog pluripot hematopoiet stem cell support and amifostin cytoprotect in cancer patient
1668,NCT00003331,combin chemotherapi in treat patient with advanc cancer,"['fluorouracil', 'leucovorin calcium', 'topotecan hydrochloride']",['1'],a phase i studi of low dose continu infus topotecan in combin with 5fluorouracil and leucovorin for advanc malign
1669,NCT00003398,bone marrow transplant in treat patient with hematolog cancer,"['cyclophosphamide', 'thiotepa']",['4'],evalu of allogen marrow transplant deplet of tcell by cd34 select in patient undergo transplant with an unrel match or 1 antigen mismatch donor or a 1 antigen mismatch relat donor
1670,NCT00004036,combin chemotherapi plus amifostin in treat patient with advanc cancer,"['amifostine trihydrate', 'carboplatin', 'cyclophosphamide']",['1'],phase i trial of high dose chemotherapi use amifostin for invivo protect of gmcsf prime progenitor cell
1671,NCT00002980,decitabin in treat patient with melanoma or other advanc cancer,['decitabine'],['1'],a phase i studi of the biolog and clinic effect of 5aza2deoxycytidin dac in patient with advanc malign
1673,NCT00003406,combin chemotherapi follow by peripher stem cell transplant in treat patient with refractori cancer,"['carboplatin', 'docetaxel', 'ifosfamide']","['1', '2']",a phase iii intensivedos ifosfamide carboplatin and taxoter ict combin chemotherapi follow by autolog stem cell rescu for patient with refractori malign
