"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
1752,"NCT03136146","Study of Clofarabine, Etoposide, Cyclophosphamide [CEC], Liposomal Vincristine (VCR), Dexamethasone and Bortezomib in Relapsed/Refractory Acute Lymphoblastic Leukemia (ALL) and Lymphoblastic Lymphoma (LL)",,"Recruiting","No Results Available","Drug: Clofarabine|Drug: Etoposide|Drug: Cyclophosphamide|Drug: Liposomal Vincristine|Drug: Bortezomib|Drug: Ofatumumab|Drug: Rituximab|Drug: Pegfilgrastim|Drug: Dexamethasone","Phase 2","null","https://ClinicalTrials.gov/show/NCT03136146"
1753,"NCT00002649","Interleukin-2 or Observation Following Radiation Therapy, Combination Chemotherapy, and Peripheral Stem Cell Transplantation in Treating Patients With Recurrent Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Biological: aldesleukin|Biological: filgrastim|Drug: cyclophosphamide|Drug: etoposide|Radiation: radiation therapy|Procedure: peripheral blood stem cell transplantation|Procedure: bone marrow ablation with stem cell support","Phase 3","null","https://ClinicalTrials.gov/show/NCT00002649"
1754,"NCT01623856","Studying Genes Associated With Non-Hodgkin Lymphoma in Young Patients",,"Completed","No Results Available","Other: laboratory biomarker analysis","","null","https://ClinicalTrials.gov/show/NCT01623856"
1755,"NCT03677128","Mobile Health Case Management System for Reducing Pediatric Treatment Abandonment",,"Not yet recruiting","No Results Available","Other: mHealth Case Management System","Not Applicable","null","https://ClinicalTrials.gov/show/NCT03677128"
1756,"NCT01516593","Short Term Intensified Chemo-immunotherapy in HIV-positive Patients With Burkitt Lymphoma","CARMEN","Unknown status","No Results Available","Drug: Induction Phase|Drug: Consolidation Phase (on day +50)|Drug: Intensification phase|Drug: BEAM conditioning|Radiation: Consolidation radiotherapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT01516593"
1757,"NCT02797470","Gene Therapy in Treating Patients With Human Immunodeficiency Virus-Related Lymphoma Receiving Stem Cell Transplant",,"Recruiting","No Results Available","Procedure: Autologous Hematopoietic Stem Cell Transplantation|Drug: Carmustine|Drug: Cytarabine|Drug: Etoposide|Other: Laboratory Biomarker Analysis|Biological: Lentivirus Vector CCR5 shRNA/TRIM5alpha/TAR Decoy-transduced Autologous CD34-positive Hematopoietic Progenitor Cells|Drug: Melphalan|Procedure: Peripheral Blood Stem Cell Transplantation","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02797470"
1758,"NCT02378922","Gene-Modified HIV-Protected Stem Cell Transplant in Treating Patients With HIV-Associated Lymphoma",,"Suspended","No Results Available","Biological: Gene-Modified HIV-Protected Hematopoietic Stem Cells|Other: Laboratory Biomarker Analysis|Other: Transplant Conditioning","Phase 1","null","https://ClinicalTrials.gov/show/NCT02378922"
1759,"NCT01290120","Chemotherapy Plus Rituximab Combination for Adult Lymphoblastic Leukemia (B-ALL) and Burkitt's Non-Hodgkin Lymphoma",,"Completed","No Results Available","Drug: Chemotherapy-Rituximab combination","Phase 2","null","https://ClinicalTrials.gov/show/NCT01290120"
1760,"NCT02240719","Everolimus and Bendamustine Hydrochloride in Treating Patients With Relapsed or Refractory Hematologic Cancer",,"Active, not recruiting","No Results Available","Drug: everolimus|Drug: bendamustine hydrochloride","Phase 1","null","https://ClinicalTrials.gov/show/NCT02240719"
1761,"NCT01045889","High Dose Therapy and Peripheral Blood Stem Cell Transplantation in HIV Related Non Hodgkin Lymphoma (NHL) at High Risk","HDT-HIV","Completed","No Results Available","Other: Rituximab and CHOP regimen + PBSCT","Phase 2","null","https://ClinicalTrials.gov/show/NCT01045889"
1762,"NCT01196520","Epidemiology of Burkitt Lymphoma in East Africa Children or Minors (EMBLEM)",,"Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT01196520"
1763,"NCT00669877","Rituximab and Hyper-CVAD (Cyclophosphamide, Vincristine, Adriamycin, and Dexamethasone) for Burkitt's and Burkitt's -Like Leukemia/Lymphoma",,"Completed","Has Results","Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Dexamethasone|Drug: G-CSF|Drug: Cytarabine|Drug: Methotrexate","Phase 2","May 16, 2018","https://ClinicalTrials.gov/show/NCT00669877"
1764,"NCT00392834","Rituximab and Combination Chemotherapy in Treating Patients With Newly Diagnosed, HIV-Associated Burkitt's Lymphoma",,"Completed","Has Results","Biological: filgrastim|Biological: pegfilgrastim|Biological: rituximab|Drug: cyclophosphamide|Drug: cytarabine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: ifosfamide|Drug: leucovorin calcium|Drug: liposomal cytarabine|Drug: methotrexate|Drug: therapeutic hydrocortisone|Drug: vincristine sulfate","Phase 2","February 28, 2013","https://ClinicalTrials.gov/show/NCT00392834"
1765,"NCT00392990","Doxorubicin Hydrochloride Liposome and Rituximab With Combination Chemotherapy in Treating Patients With Newly Diagnosed Burkitt's Lymphoma or Burkitt-Like Lymphoma",,"Active, not recruiting","No Results Available","Drug: Regimen A|Drug: Regimen B","Phase 2","null","https://ClinicalTrials.gov/show/NCT00392990"
1766,"NCT00217503","Bortezomib and Antiviral Therapy Followed By Effusion Drainage, Bevacizumab, and Combination Chemotherapy in Treating Patients With Primary Effusion Lymphoma",,"Completed","No Results Available","Biological: bevacizumab|Biological: filgrastim|Biological: pegfilgrastim|Drug: bortezomib|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: ganciclovir|Drug: valganciclovir|Drug: zidovudine","Phase 2","null","https://ClinicalTrials.gov/show/NCT00217503"
1767,"NCT00002003","Phase II Study of Novantrone(R) (Mitoxantrone) and Etoposide in Patients With HIV Associated Large Cell and Immunoblastic Lymphomas",,"Completed","No Results Available","Drug: Mitoxantrone hydrochloride|Drug: Etoposide","Phase 2","null","https://ClinicalTrials.gov/show/NCT00002003"
1768,"NCT00002524","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma",,"Completed","No Results Available","Biological: Bleomycin Sulfate|Biological: Filgrastim|Drug: Cisplatin|Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Doxorubicin Hydrochloride (DOX)|Drug: Etoposide|Drug: Fluorouracil|Drug: Ifosfamide|Drug: Leucovorin calcium|Drug: Methotrexate|Drug: Methylprednisolone|Drug: Pentamidine|Drug: Prednisone|Drug: Trimethoprim-Sulfamethoxazole|Drug: Vincristine Sulfate|Drug: Zidovudine (AZT)|Radiation: Radiation Therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00002524"
1769,"NCT00388193","Rituximab Combined With Chemotherapy in Burkitt`s Lymphoma",,"Completed","No Results Available","Drug: RITUXIMAB","Phase 2","null","https://ClinicalTrials.gov/show/NCT00388193"
1770,"NCT00126243","Efficacy of Rituximab and Cyclophosphamide, Doxorubicin, Vincristine, Prednisone (CHOP) in Patients With HIV Associated Non-Hodgkin’s Lymphoma",,"Terminated","No Results Available","Drug: rituximab|Drug: CHOP","Phase 2","null","https://ClinicalTrials.gov/show/NCT00126243"
1771,"NCT00126191","Intensive Chemotherapy and Rituximab in the Treatment of Burkitt Lymphoma",,"Terminated","Has Results","Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Methotrexate|Drug: Leucovorin|Drug: Ifosfamide|Drug: Etoposide|Drug: Cytarabine|Drug: Mesna","Phase 2","May 23, 2013","https://ClinicalTrials.gov/show/NCT00126191"
1772,"NCT00024128","Peripheral Stem Cell Transplantation Followed By Infusion of White Blood Cells in Treating Patients With AIDS-Related Lymphoma",,"Withdrawn","No Results Available","Biological: anti-thymocyte globulin|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: cyclosporine|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00024128"
1773,"NCT00002571","SWOG-9320 Combination Chemotherapy, Radiation Therapy, and Antiviral Therapy in Treating Patients With AIDS-Related Lymphoma",,"Completed","No Results Available","Biological: bleomycin sulfate|Biological: filgrastim|Drug: cyclophosphamide|Drug: cytarabine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: leucovorin calcium|Drug: methotrexate|Drug: prednisone|Drug: trimethoprim-sulfamethoxazole|Drug: vincristine sulfate|Radiation: radiation therapy|Drug: Intrathecal cytarabine","Phase 2","null","https://ClinicalTrials.gov/show/NCT00002571"
1774,"NCT00621036","Vaccine Therapy and GM-CSF in Treating Patients With CNS Lymphoma",,"Unknown status","No Results Available","Biological: autologous immunoglobulin idiotype-KLH conjugate vaccine|Biological: sargramostim|Drug: methotrexate|Drug: thiotepa|Radiation: radiation therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00621036"
1775,"NCT01164436","Cohort of HIV Associated Lymphomas","ANRS CO16","Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT01164436"
1776,"NCT00310128","Combination Chemotherapy Followed by Rituximab and Yttrium Y 90 Ibritumomab Tiuxetan in Treating Patients With Relapsed or Refractory AIDS-Related Non-Hodgkin's Lymphoma",,"Withdrawn","No Results Available","Drug: cisplatin|Drug: cytarabine|Drug: etoposide|Drug: methylprednisolone|Drug: rituximab|Drug: yttrium Y 90 ibritumomab tiuxetan|Procedure: antibody therapy|Procedure: biological therapy|Procedure: chemotherapy|Procedure: monoclonal antibody therapy|Procedure: radiation therapy|Procedure: radioimmunotherapy|Procedure: radioisotope therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00310128"
1777,"NCT00267865","Chemotherapy and HAART to Treat AIDS-related Primary Brain Lymphoma",,"Recruiting","No Results Available","Drug: Methotrexate|Drug: Rituximab|Drug: Leucovorin","Phase 2","null","https://ClinicalTrials.gov/show/NCT00267865"
1778,"NCT00133991","Combination Chemotherapy and Rituximab in Treating Patients With Newly Diagnosed Burkitt's Lymphoma or Leukemia",,"Completed","Has Results","Biological: Filgrastim|Biological: Rituximab|Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Methotrexate|Drug: Prednisone|Drug: Hydrocortisone|Drug: Vincristine|Drug: Leucovorin","Phase 2","September 17, 2018","https://ClinicalTrials.gov/show/NCT00133991"
1779,"NCT02443831","CARPALL: Immunotherapy With CD19 CAR T-cells for CD19+ Haematological Malignancies",,"Recruiting","No Results Available","Procedure: Leukapheresis|Drug: Lymphodepletion with fludarabine|Drug: Lymphodepletion with cyclophosphamide|Biological: CD19 CAR T-cells","Phase 1","null","https://ClinicalTrials.gov/show/NCT02443831"
1780,"NCT01088763","Gamma-Secretase Inhibitor RO4929097 in Treating Young Patients With Relapsed or Refractory Solid Tumors, CNS Tumors, Lymphoma, or T-Cell Leukemia",,"Terminated","No Results Available","Drug: gamma-secretase/Notch signalling pathway inhibitor RO4929097|Other: diagnostic laboratory biomarker analysis|Other: pharmacological study|Drug: dexamethasone","Phase 1","null","https://ClinicalTrials.gov/show/NCT01088763"
1781,"NCT00005824","Chemotherapy Followed By Peripheral Stem Cell Transplantation in Treating Patients With Recurrent or Refractory AIDS-Related Lymphoma",,"Completed","No Results Available","Biological: filgrastim|Drug: busulfan|Drug: cyclophosphamide|Procedure: peripheral blood stem cell transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT00005824"
1782,"NCT00180882","LMBA02 Protocol for Patients With a Burkitt Lymphoma",,"Unknown status","No Results Available","Drug: rituximab","Phase 3","null","https://ClinicalTrials.gov/show/NCT00180882"
1783,"NCT00871546","SCH 727965 in Patients With Mantle Cell Lymphoma or B-Cell Chronic Lymphocytic Leukemia (Study P04715)",,"Terminated","No Results Available","Drug: SCH 727965|Drug: Bortezomib|Biological: Alemtuzumab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00871546"
1784,"NCT03674411","Trial Evaluating MGTA-456 in Patients With High-Risk Malignancy",,"Not yet recruiting","No Results Available","Drug: Fludarabine (FLU)|Drug: Cyclophosphamide (CY)|Drug: Total Body Irradiation (TBI)|Drug: Tacrolimus (Tac)|Drug: Mycophenolate Mofetil (MMF)|Drug: Granulocyte Colony-Stimulating Factor (G-CSF)|Drug: Busulfan (BU)|Drug: Melphalan|Drug: MGTA 456 Infusion","Phase 2","null","https://ClinicalTrials.gov/show/NCT03674411"
1785,"NCT00040690","Combination Chemotherapy in Treating Patients With Burkitt's Lymphoma or Burkitt's Leukemia",,"Completed","No Results Available","Biological: filgrastim|Drug: cyclophosphamide|Drug: cytarabine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: ifosfamide|Drug: leucovorin calcium|Drug: methotrexate|Drug: vincristine sulfate|Radiation: radiation therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00040690"
1786,"NCT00039130","Rituximab, Chemotherapy, and Filgrastim in Treating Patients With Burkitt's Lymphoma or Burkitt's Leukemia",,"Completed","Has Results","Biological: filgrastim|Biological: rituximab|Drug: cyclophosphamide|Drug: cytarabine|Drug: dexamethasone|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: ifosfamide|Drug: leucovorin calcium|Drug: methotrexate|Drug: prednisone|Drug: vincristine sulfate|Drug: Allopurinol","Phase 2","October 22, 2014","https://ClinicalTrials.gov/show/NCT00039130"
1787,"NCT02931110","Study of IV CBL0137 in Previously Treated Hematological Subjects",,"Recruiting","No Results Available","Drug: CBL0137","Phase 1","null","https://ClinicalTrials.gov/show/NCT02931110"
1788,"NCT00598624","Clinical Trial to Evaluate the Safety and Efficacy of Treosulfan Based Conditioning Prior to Allogeneic Haematopoietic Stem Cell Transplantation (HSCT)","AlloTreo","Unknown status","No Results Available","Drug: Treosulfan IV","Phase 2","null","https://ClinicalTrials.gov/show/NCT00598624"
1789,"NCT00226304","Evaluation of Brain Lesions in HIV-infected Patients for Diagnosis of Primary Central Nervous System Lymphoma",,"Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT00226304"
